GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
544,341,timesofindia.indiatimes.com,com,28397,63352,timesofindia.indiatimes.com,com,541,341,28403,63048
545,342,mediafire.com,com,28300,60904,mediafire.com,com,545,342,28306,60706
546,16,service.gov.uk,uk,28259,63967,service.gov.uk,uk,546,16,28304,63608
547,65,freebsd.org,org,28257,41878,freebsd.org,org,547,65,28249,41837
548,343,fc2.com,com,28218,72605,fc2.com,com,549,344,28180,72527
549,66,iana.org,org,28196,42676,iana.org,org,550,66,28177,42607
550,27,duke.edu,edu,28151,53581,duke.edu,edu,551,27,28103,53361
551,1,lnkd.in,in,28104,47445,lnkd.in,in,552,1,27968,47138
552,344,mixcloud.com,com,27983,56084,mixcloud.com,com,553,345,27933,55929
553,4,bund.de,de,27959,85791,bund.de,de,556,4,27815,84911
554,345,history.com,com,27939,61186,history.com,com,548,343,28206,61410
555,346,newscientist.com,com,27857,55781,newscientist.com,com,554,346,27852,55538
556,1,telegra.ph,ph,27838,55256,telegra.ph,ph,555,1,27841,55191
557,347,storage.googleapis.com,com,27745,51437,storage.googleapis.com,com,557,347,27690,51180
558,348,venturebeat.com,com,27708,54643,venturebeat.com,com,558,348,27659,54268
559,28,unc.edu,edu,27660,51538,unc.edu,edu,561,28,27599,51375
560,2,ok.ru,ru,27552,78778,ok.ru,ru,559,2,27604,78890
561,1,in.ua,ua,27545,54438,in.ua,ua,560,1,27599,54405
562,29,ucsd.edu,edu,27512,51543,ucsd.edu,edu,564,30,27439,51292
563,30,msu.edu,edu,27497,52422,msu.edu,edu,565,31,27409,52211
564,31,umd.edu,edu,27496,49819,umd.edu,edu,562,29,27462,49639
565,67,drupal.org,org,27484,45091,drupal.org,org,566,67,27368,44910
566,349,timeanddate.com,com,27418,52474,timeanddate.com,com,568,350,27330,52177
567,25,archives.gov,gov,27362,55457,archives.gov,gov,563,25,27450,55449
568,1,go.th,th,27352,55117,go.th,th,571,1,27267,54981
569,350,siemens.com,com,27342,45256,siemens.com,com,573,351,27170,44951
570,32,ufl.edu,edu,27335,52671,ufl.edu,edu,569,32,27323,52506
571,351,evernote.com,com,27332,54433,evernote.com,com,567,349,27334,54344
572,2,go.kr,kr,27271,55949,go.kr,kr,570,2,27278,55809
573,26,justice.gov,gov,27198,59110,justice.gov,gov,572,26,27198,58768
574,27,privacyshield.gov,gov,27197,74244,privacyshield.gov,gov,577,28,27112,73753
575,352,proofpoint.com,com,27131,49096,proofpoint.com,com,575,352,27138,48743
576,28,energy.gov,gov,27122,57903,energy.gov,gov,576,27,27128,57700
577,2,kiev.ua,ua,27068,51627,kiev.ua,ua,578,2,27045,51577
578,353,atlassian.com,com,27034,47076,atlassian.com,com,583,354,26979,46759
579,68,apachefriends.org,org,27001,42304,apachefriends.org,org,582,69,26991,42314
580,354,rt.com,com,26998,53105,rt.com,com,584,355,26938,52879
581,4,lemonde.fr,fr,26989,54683,lemonde.fr,fr,592,4,26780,53908
582,4,hatena.ne.jp,jp,26983,69374,hatena.ne.jp,jp,579,4,27044,69256
583,69,ahmuseum.org,org,26980,49482,ahmuseum.org,org,581,68,27000,49488
584,355,sky.com,com,26946,57698,sky.com,com,585,356,26917,57363
585,356,udemy.com,com,26932,58051,udemy.com,com,580,353,27019,57779
586,357,automattic.com,com,26918,67645,automattic.com,com,587,357,26885,67576
